Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","SearchStack/SearchWithTipRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","SearchStack/SearchWithTipRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","SearchStack/SearchLambdaExecRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","SearchStack/SearchLambdaExecRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","SearchStack/SearchLambdaExecRole/DefaultPolicy/Resource","Suppressed","Lambda log group requires ':*' suffix","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","SearchStack/SearchHandler/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-APIG2","SearchStack/SearchApi/Resource","Compliant","N/A","Error","The REST API does not have request validation enabled."
"AwsSolutions-IAM4","SearchStack/SearchApi/CloudWatchRole/Resource","Suppressed","API Gateway needs AWS-managed log push policy","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","SearchStack/SearchApi/CloudWatchRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-APIG4","SearchStack/SearchApi/Default/search/POST/Resource","Suppressed","OAuth token used, not API Gateway auth","Error","The API does not implement authorization."
"AwsSolutions-COG4","SearchStack/SearchApi/Default/search/POST/Resource","Suppressed","Custom token verification, not Cognito","Error","The API GW method does not use a Cognito user pool authorizer."
"AwsSolutions-APIG1","SearchStack/SearchApiStage/Resource","Compliant","N/A","Error","The API does not have access logging enabled."
"AwsSolutions-APIG3","SearchStack/SearchApiStage/Resource","Compliant","N/A","Warning","The REST API stage is not associated with AWS WAFv2 web ACL."
"AwsSolutions-APIG6","SearchStack/SearchApiStage/Resource","Compliant","N/A","Error","The REST API Stage does not have CloudWatch logging enabled for all methods."
